POOL	TRIAL 	NT_Density	DO	pH	WT	MC_Movement	MC_Chase	MC_Shelter	NT_Movement	NT_Chase	NT_Shelter	NT_Size_Avg	MC_Size_Avg	Delta_Size	PC1
One	a	Five	3.98	7.75	27.9	54	2	2.901757371	71	2	2.084459985	10.22	10.64	-0.42	0.30699
Three	a	Five	3.61	7.84	26.5	57	0	1.414830158	65	1	1.406721748	10.36	10.84	-0.48	0.95635
Four	b	Five	5.1	8.11	26.5	21	0	1.805693966	43	0	1.562521422	10	11.8	-1.8	2.7642
Two	b	Five	4.71	8.04	26.7	19	0	2.929296395	21	0	2.194213319	11.76	10.88	0.88	2.179
Four	c	Five	2.33	7.11	27.4	21	0	1.805693966	43	0	1.562521422	9.88	10.24	-0.36	-2.0739
One	c	Five	5.16	8.02	27	6	0	3.805330344	44	0	1.808268066	10.16	9.48	0.68	2.3578
Three	d	Five	2.96	7.17	27.1	9	0	3.125723951	69	1	2.522000352	10.68	8.78	1.9	-1.2447
Two	d	Five	2.81	7.17	27.1	5	0	3.467728604	42	1	2.356330622	9.6	10.52	-0.92	-1.3739
Four	e	Five	4.1	7.57	25.5	32	0	2.369494282	51	1	1.582817646	9.9	10.82	-0.92	1.4208
Three	e	Five	4.05	7.64	25.6	30	0	2.015335013	45	2	1.865937345	9.44	12.94	-3.5	1.457
Four	f	Five	4.27	7.56	26.3	19	0	2.348121135	66	5	2.522985496	10.04	10.9	-0.86	1.0945
One	f	Five	4.31	7.72	27.6	4	0	3.3805555	47	0	2.245597361	10.52	11.56	-1.04	0.70301
One	g	Five	3.72	7.06	27.3	4	0	4.910048035	29	0	2.251007051	10.96	11.48	-0.52	-0.91692
Two	g	Five	3.13	7.09	27.4	0	0	4	12	0	3.930252827	10.34	10.82	-0.48	-1.4236
Three	h	Five	2.96	7.1	27	2	0	3.860813799	6	0	2.23557421	10.16	11.7	-1.54	-1.3239
Two	h	Five	2.76	7.1	27	1	0	4.018084779	8	0	4.163176275	10.72	13.2	-2.48	-1.4962
Two	i	Five	4.22	7.25	25.7	19	0	1.807392285	49	0	1.758215109	10.44	11.66	-1.22	0.78942
Four	j	Five	4.49	7.35	25.8	8	0	2.270750386	39	0	1.983574247	9.84	12.72	-2.88	1.1595
Two	j	Five	4.22	7.25	25.7	36	1	3.100474187	60	1	1.933618249	9.12	12.26	-3.14	0.78942
One	k	Five	4.72	7.43	26	9	0	3.901730742	54	3	1.280306957	9.12	12.26	-3.14	1.3997
One	l	Five	4.7	7.44	26.1	8	0	2.806437735	2	0	3.793810928	9.12	12.74	-3.62	1.3452
Three	l	Five	4.51	7.39	26.1	16	0	3.719604342	22	3	2.868200028	10.84	11.8	-0.96	1.0844
Two	l	Five	4.36	7.31	26	16	0	3.282721894	52	0	2.153599873	9.84	12.72	-2.88	0.85654
One	m	Five	3.49	7.17	28.1	24	0	2.574179192	51	2	1.638670523	10.1	12	-1.9	-1.3548
Three	m	Five	3.75	7.23	27.2	13	0	3.324194174	45	1	2.283463773	12.78	10.28	2.5	-0.50428
One	n	Five	3.98	7.28	28.1	8	0	2.854244589	65	1	2.43432251	10.48	13.62	-3.14	-0.71904
Three	n	Five	3.44	7.25	27.5	8	0	4.128736028	44	1	1.863560008	10.28	12.78	-2.5	-0.90249
Four	o	Five	2.67	7.12	27.5	1	0	3.682976494	54	1	1.916810096	9.12	13.22	-4.1	-1.8183
One	o	Five	3.6	7.12	29.2	14	0	3.146035271	33	1	2.157687553	11.36	12.56	-1.2	-1.9804
Three	p	Five	3.26	7.19	28	6	0	4.114991537	23	6	1.894238783	11.36	13.42	-2.06	-1.4574
Two	p	Five	3.38	7.14	28.3	3	0	3.839358322	60	0	2.320777345	11.36	13.22	-1.86	-1.6211
Four	a	Ten	3.76	7.9	26.5	45	0	2.71487624	102	1	3.346461615	10.02	9.1	0.92	1.2021
Two	a	Ten	4.28	7.89	26.6	47	1	2.462366754	120	1	2.252686986	11.47	11.425	0.045	1.5739
One	b	Ten	4.42	7.89	26.8	27	1	0.509854274	41	0	2.853476573	10.48	11.44	-0.96	1.5812
Three	b	Ten	4.86	8.05	26.5	27	0	2.296654527	46	1	4.744814683	12.26	10.96	1.3	2.441
Three	c	Ten	2.92	7.2	27.3	17	0	1.891756166	70	2	5.597090642	10.21	10.64	-0.43	-1.3342
Two	c	Ten	4.86	8.05	26.5	7	0	4.231994533	47	0	3.727802078	10.41	11.36	-0.95	2.441
Four	d	Ten	2.05	7.16	27.1	4	0	3.426908923	48	0	2.618110597	9.96	10.524	-0.564	-2.048
One	d	Ten	3.37	7.21	27.3	3	0	4.140564805	77	0	5.80957357	11.37	11.08	0.29	-0.92714
One	e	Ten	4.13	7.7	25.7	32	0	2.41740844	72	1	3.929174394	10.43	11.86	-1.43	1.5858
Two	e	Ten	4.22	7.62	25.6	51	0	2.707119587	94	4	3.809745952	10.23	11.36	-1.13	1.5646
Three	f	Ten	4	7.66	27.4	19	0	3.126292934	117	0	4.570651059	9.75	11.22	-1.47	0.43278
Two	f	Ten	4.18	7.72	27.6	15	0	2.930253694	90	0	3.622532982	9.87	11.7	-1.83	0.59102
Four	g	Ten	3.1	7.12	27.8	0	0	5	76	0	5.488862324	9.43	10.68	-1.25	-1.6178
Three	g	Ten	2.75	7.1	27.6	6	0	3.392924688	57	0	5.180595788	10.41	10.78	-0.37	-1.8448
Four	h	Ten	3.05	7.14	27	0	0	5	27	0	2.353641434	9.05	13.22	-4.17	-1.1687
One	h	Ten	2.7	7.13	27	0	0	3.754075835	32	0	5.536339848	9.72	11.52	-1.8	-1.4897
Four	i	Ten	4.36	7.28	25.8	13	0	3.723261369	13	0	2.696734583	10.04	13.54	-3.5	0.91161
One	i	Ten	3.23	7.16	26.9	32	0	2.181982941	66	0	4.06724506	10.26	12.22	-1.96	-0.91817
Three	i	Ten	3.2	7.17	27	31	0	1.103345285	75	2	8.273312174	10.19	12.74	-2.55	-0.98126
One	j	Ten	4.67	7.31	25.7	36	0	2.776013528	58	1	3.204711689	10.68	12.84	-2.16	1.2936
Three	j	Ten	4.71	7.35	25.8	11	1	1.955010262	34	2	4.524512986	10.68	12.72	-2.04	1.3491
Four	k	Ten	4.43	7.36	26	13	0	1.334490807	53	0	4.786137561	10.19	12.26	-2.07	1.0139
Three	k	Ten	4.61	7.31	26	13	0	1.990378368	91	5	4.65413437	10.68	12.84	-2.16	1.0719
Two	k	Ten	4.4	7.32	25.8	28	1	2.863666796	17	5	6.300885683	10.19	12.84	-2.65	1.0237
Four	l	Ten	4.68	7.38	26.1	18	0	3.938364565	138	0	5.174591983	9.97	13.34	-3.37	1.2115
Four	m	Ten	3.45	7.2	27.1	13	0	2.679391382	58	0	2.923560246	9.04	13.42	-4.38	-0.76431
Two	m	Ten	4.06	7.27	27.5	9	0	2.506430967	65	0	3.281867622	10.58	13.68	-3.1	-0.32955
Four	n	Ten	4.05	7.22	28.5	4	0	3.856370264	90	2	4.117001593	9.04	13.5	-4.46	-1.0019
Two	n	Ten	4.02	7.25	27.7	20	0	1.86045312	61	1	3.962232608	10.93	13.42	-2.49	-0.51618
