POOL	TRIAL 	NTDensity	Species	Movement	Chase	Shelter
One	a	Five	MC	54	2	2.901757371
Three	a	Five	MC	57	0	1.414830158
Four	b	Five	MC	21	0	1.805693966
Two	b	Five	MC	19	0	2.929296395
Four	c	Five	MC	21	0	1.805693966
One	c	Five	MC	6	0	3.805330344
Three	d	Five	MC	9	0	3.125723951
Two	d	Five	MC	5	0	3.467728604
Four	e	Five	MC	32	0	2.369494282
Three	e	Five	MC	30	0	2.015335013
Four	f	Five	MC	19	0	2.348121135
One	f	Five	MC	4	0	3.3805555
One	g	Five	MC	4	0	4.910048035
Two	g	Five	MC	0	0	4
Three	h	Five	MC	2	0	3.860813799
Two	h	Five	MC	1	0	4.018084779
Two	i	Five	MC	19	0	1.807392285
Four	j	Five	MC	8	0	2.270750386
Two	j	Five	MC	36	1	3.100474187
One	k	Five	MC	9	0	3.901730742
One	l	Five	MC	8	0	2.806437735
Three	l	Five	MC	16	0	3.719604342
Two	l	Five	MC	16	0	3.282721894
One	m	Five	MC	24	0	2.574179192
Three	m	Five	MC	13	0	3.324194174
One	n	Five	MC	8	0	2.854244589
Three	n	Five	MC	8	0	4.128736028
Four	o	Five	MC	1	0	3.682976494
One	o	Five	MC	14	0	3.146035271
Three	p	Five	MC	6	0	4.114991537
Two	p	Five	MC	3	0	3.839358322
Four	a	Ten	MC	45	0	2.71487624
Two	a	Ten	MC	47	1	2.462366754
One	b	Ten	MC	27	1	0.509854274
Three	b	Ten	MC	27	0	2.296654527
Three	c	Ten	MC	17	0	1.891756166
Two	c	Ten	MC	7	0	4.231994533
Four	d	Ten	MC	4	0	3.426908923
One	d	Ten	MC	3	0	4.140564805
One	e	Ten	MC	32	0	2.41740844
Two	e	Ten	MC	51	0	2.707119587
Three	f	Ten	MC	19	0	3.126292934
Two	f	Ten	MC	15	0	2.930253694
Four	g	Ten	MC	0	0	5
Three	g	Ten	MC	6	0	3.392924688
Four	h	Ten	MC	0	0	5
One	h	Ten	MC	0	0	3.754075835
Four	i	Ten	MC	13	0	3.723261369
One	i	Ten	MC	32	0	2.181982941
Three	i	Ten	MC	31	0	1.103345285
One	j	Ten	MC	36	0	2.776013528
Three	j	Ten	MC	11	1	1.955010262
Four	k	Ten	MC	13	0	1.334490807
Three	k	Ten	MC	13	0	1.990378368
Two	k	Ten	MC	28	1	2.863666796
Four	l	Ten	MC	18	0	3.938364565
Four	m	Ten	MC	13	0	2.679391382
Two	m	Ten	MC	9	0	2.506430967
Four	n	Ten	MC	4	0	3.856370264
Two	n	Ten	MC	20	0	1.86045312
Three	o	Ten	MC	22	0	2.556707928
Two	o	Ten	MC	8	0	4.199810948
Four	p	Ten	MC	13	0	3.641659421
One	p	Ten	MC	3	0	3.606229169
One	a	Five	NT	71	2	2.084459985
Three	a	Five	NT	65	1	1.406721748
Four	b	Five	NT	43	0	1.562521422
Two	b	Five	NT	21	0	2.194213319
Four	c	Five	NT	43	0	1.562521422
One	c	Five	NT	44	0	1.808268066
Three	d	Five	NT	69	1	2.522000352
Two	d	Five	NT	42	1	2.356330622
Four	e	Five	NT	51	1	1.582817646
Three	e	Five	NT	45	2	1.865937345
Four	f	Five	NT	66	5	2.522985496
One	f	Five	NT	47	0	2.245597361
One	g	Five	NT	29	0	2.251007051
Two	g	Five	NT	12	0	3.930252827
Three	h	Five	NT	6	0	2.23557421
Two	h	Five	NT	8	0	4.163176275
Two	i	Five	NT	49	0	1.758215109
Four	j	Five	NT	39	0	1.983574247
Two	j	Five	NT	60	1	1.933618249
One	k	Five	NT	54	3	1.280306957
One	l	Five	NT	2	0	3.793810928
Three	l	Five	NT	22	3	2.868200028
Two	l	Five	NT	52	0	2.153599873
One	m	Five	NT	51	2	1.638670523
Three	m	Five	NT	45	1	2.283463773
One	n	Five	NT	65	1	2.43432251
Three	n	Five	NT	44	1	1.863560008
Four	o	Five	NT	54	1	1.916810096
One	o	Five	NT	33	1	2.157687553
Three	p	Five	NT	23	6	1.894238783
Two	p	Five	NT	60	0	2.320777345
Four	a	Ten	NT	102	1	3.346461615
Two	a	Ten	NT	120	1	2.252686986
One	b	Ten	NT	41	0	2.853476573
Three	b	Ten	NT	46	1	4.744814683
Three	c	Ten	NT	70	2	5.597090642
Two	c	Ten	NT	47	0	3.727802078
Four	d	Ten	NT	48	0	2.618110597
One	d	Ten	NT	77	0	5.80957357
One	e	Ten	NT	72	1	3.929174394
Two	e	Ten	NT	94	4	3.809745952
Three	f	Ten	NT	117	0	4.570651059
Two	f	Ten	NT	90	0	3.622532982
Four	g	Ten	NT	76	0	5.488862324
Three	g	Ten	NT	57	0	5.180595788
Four	h	Ten	NT	27	0	2.353641434
One	h	Ten	NT	32	0	5.536339848
Four	i	Ten	NT	13	0	2.696734583
One	i	Ten	NT	66	0	4.06724506
Three	i	Ten	NT	75	2	8.273312174
One	j	Ten	NT	58	1	3.204711689
Three	j	Ten	NT	34	2	4.524512986
Four	k	Ten	NT	53	0	4.786137561
Three	k	Ten	NT	91	5	4.65413437
Two	k	Ten	NT	17	5	6.300885683
Four	l	Ten	NT	138	0	5.174591983
Four	m	Ten	NT	58	0	2.923560246
Two	m	Ten	NT	65	0	3.281867622
Four	n	Ten	NT	90	2	4.117001593
Two	n	Ten	NT	61	1	3.962232608
Three	o	Ten	NT	78	2	3.482543627
Two	o	Ten	NT	94	0	3.851751602
Four	p	Ten	NT	131	0	4.840562792
One	p	Ten	NT	89	0	4.629874334
